id,segment,start_sec,end_sec,score
6quOC6McLZU,43,49.88,51.04,0.5789422070971644
6quOC6McLZU,44,51.04,52.2,0.561219293429699
6quOC6McLZU,45,52.2,53.36,0.5247467131660599
6quOC6McLZU,46,53.36,54.52,0.47020781173596127
6quOC6McLZU,47,54.52,55.68,0.4557862122218165
6quOC6McLZU,48,55.68,56.84,0.39741411580991187
6quOC6McLZU,49,56.84,58.0,0.3494135559731367
6quOC6McLZU,50,58.0,59.16,0.32085438298222224
6quOC6McLZU,51,59.16,60.32,0.316500114677706
6quOC6McLZU,52,60.32,61.48,0.28466132230521085
6quOC6McLZU,53,61.48,62.64,0.26087232713071734
6quOC6McLZU,54,62.64,63.8,0.24498527370160417
6quOC6McLZU,55,63.8,64.96,0.2606317305169173
6quOC6McLZU,56,64.96,66.12,0.24555797180743474
6quOC6McLZU,57,66.12,67.28,0.23660357441204763
6quOC6McLZU,58,67.28,68.44,0.2370677388390357
6quOC6McLZU,59,68.44,69.6,0.2445413683629321
6quOC6McLZU,60,69.6,70.76,0.2796947749004671
6quOC6McLZU,61,70.76,71.92,0.26961292733621844
6quOC6McLZU,62,71.92,73.08,0.26621470455178
6quOC6McLZU,63,73.08,74.24,0.2640233332055675
6quOC6McLZU,64,74.24,75.4,0.2796219139667007
6quOC6McLZU,65,75.4,76.56,0.265563183437964
6quOC6McLZU,66,76.56,77.72,0.24986149269092323
6quOC6McLZU,67,77.72,78.88,0.23672843898983778
6quOC6McLZU,68,78.88,80.04,0.2458115892722883
6quOC6McLZU,69,80.04,81.2,0.2301226601556828
6quOC6McLZU,70,81.2,82.36,0.20551466740795787
6quOC6McLZU,71,82.36,83.52,0.17553518476973984
6quOC6McLZU,72,83.52,84.68,0.17442671752615077
6quOC6McLZU,73,84.68,85.84,0.16151238620669742
6quOC6McLZU,74,85.84,87.0,0.14486583630625732
6quOC6McLZU,75,87.0,88.16,0.1364155233130636
6quOC6McLZU,76,88.16,89.32,0.12935858096292654
6quOC6McLZU,77,89.32,90.48,0.13605917472320608
6quOC6McLZU,78,90.48,91.64,0.11795648291000588
6quOC6McLZU,79,91.64,92.8,0.10390451205739033
6quOC6McLZU,80,92.8,93.96,0.0882830002415687
6quOC6McLZU,81,93.96,95.12,0.08324915517632643
6quOC6McLZU,82,95.12,96.28,0.07223786211543855
6quOC6McLZU,83,96.28,97.44,0.061650624075881615
6quOC6McLZU,84,97.44,98.6,0.04697749083185277
6quOC6McLZU,85,98.6,99.76,0.035583807479000376
6quOC6McLZU,86,99.76,100.92,0.026289920803963574
6quOC6McLZU,87,100.92,102.08,0.017561025406377297
6quOC6McLZU,88,102.08,103.24,0.01144367803708497
6quOC6McLZU,89,103.24,104.4,0.00789179724618671
6quOC6McLZU,90,104.4,105.56,0.008575352046399972
6quOC6McLZU,91,105.56,106.72,0.004735816129471567
6quOC6McLZU,92,106.72,107.88,0.003009147591531137
6quOC6McLZU,93,107.88,109.04,0.0010943795999913799
6quOC6McLZU,94,109.04,110.2,0.00040684676029087283
6quOC6McLZU,95,110.2,111.36,5.36686379946031e-05
6quOC6McLZU,96,111.36,112.52,0.0
6quOC6McLZU,97,112.52,113.68,0.0033032034728264783
6quOC6McLZU,98,113.68,114.84,0.0008526164934093382
6quOC6McLZU,99,114.84,116.0,0.00343952360793705
p59ZDdxszkk,0,0.0,5.78,0.8507632620559943
p59ZDdxszkk,1,5.78,11.56,0.3404966557894126
p59ZDdxszkk,2,11.56,17.34,0.2416182622063642
p59ZDdxszkk,3,17.34,23.12,0.13576515364532574
p59ZDdxszkk,4,23.12,28.9,0.0718237916738282
p59ZDdxszkk,5,28.9,34.68,0.06541563768598979
p59ZDdxszkk,6,34.68,40.46,0.07160319980223245
p59ZDdxszkk,7,40.46,46.24,0.07050688744721467
p59ZDdxszkk,8,46.24,52.02,0.0840360200204184
p59ZDdxszkk,9,52.02,57.8,0.18102826004328174
p59ZDdxszkk,10,57.8,63.58,0.32311483167336497
p59ZDdxszkk,11,63.58,69.36,0.5689020941368057
